Name,Link,From,To,Position,Height,Weight,Birth Date,College
1951,N/A,1962,C-F,6-9,215,"June 24, 1928",La Salle,N/A
1970,N/A,1970,G,6-0,175,"February 11, 1940",Saint Francis University,N/A
1952,N/A,1952,C,6-8,230,"June 20, 1927",Missouri,N/A
2002,N/A,2005,F,6-8,220,"April 11, 1976","California, Fresno State",N/A
2018,N/A,2025,G,6-3,185,"December 20, 1997",Kentucky,N/A
1973,N/A,1973,G,6-2,175,"August 29, 1949",Jacksonville University,N/A
1968,N/A,1977,C-F,6-10,230,"April 7, 1943",South Carolina,N/A
1992,N/A,2004,F-G,6-7,230,"July 24, 1969",UNC,N/A
2007,N/A,2017,G,6-4,213,"September 24, 1983",Villanova,N/A
1998,N/A,2009,C,6-10,250,"March 9, 1975",Colgate,N/A
2004,N/A,2008,G,6-5,210,"August 14, 1977",Gonzaga,N/A
2000,N/A,2008,G,6-3,195,"February 21, 1977","San Jacinto College, Allegany College of Maryland, Maryland",N/A
1988,N/A,1994,F-C,6-10,225,"April 26, 1965",Western Kentucky,N/A
1947,N/A,1947,F-G,6-0,195,"November 3, 1913",Brooklyn College,N/A
1973,N/A,1976,F,6-7,220,"October 19, 1949",Purdue,N/A
2014,N/A,2015,G,6-5,191,"July 21, 1991",San Diego State,N/A
2021,N/A,2021,F,6-7,225,"December 18, 1996",Washington State,N/A
1968,N/A,1973,F,6-7,205,"October 20, 1945",Kansas,N/A
2019,N/A,2022,G,6-5,215,"August 30, 1996",Tulane,N/A
2020,N/A,2020,G,6-3,200,"March 8, 1994",Florida,N/A
2015,N/A,2022,G,6-0,170,"November 1, 1990",Penn State,N/A
1968,N/A,1980,G,6-4,200,"March 29, 1945",Southern Illinois,N/A
1966,N/A,1969,C-F,6-7,210,"August 25, 1942",Grambling State University,N/A
1989,N/A,1992,F,6-7,205,"December 7, 1964",Pepperdine,N/A
2012,N/A,2019,G,6-2,195,"February 25, 1989",BYU,N/A
1976,N/A,1988,G,6-2,185,"December 9, 1953",Guilford College,N/A
2012,N/A,2022,C,6-10,250,"May 20, 1992",Kentucky,N/A
2013,N/A,2015,F-C,6-10,250,"February 7, 1987",,N/A
1968,N/A,1976,G,6-3,185,"July 18, 1944",Illinois,N/A
2025,N/A,2025,F,6-7,206,"July 29, 2000",University of Akron,N/A
1971,N/A,1971,F,6-9,210,"July 25, 1948",Oregon State,N/A
1974,N/A,1974,F,6-7,225,"November 5, 1950",Vanderbilt,N/A
2024,N/A,2024,G,6-4,180,"October 20, 1999","Valparaiso, DePaul",N/A
2005,N/A,2007,F,6-10,240,"October 2, 1981",Vanderbilt,N/A
1947,N/A,1947,F,6-2,195,"October 26, 1921",Long Island University,N/A
1958,N/A,1958,G-F,6-4,185,"April 14, 1935",California,N/A
1969,N/A,1969,G,6-4,195,"February 18, 1945",Colorado,N/A
1954,N/A,1955,F-C,6-8,210,"December 10, 1931",Hamline University,N/A
2006,N/A,2019,C-F,7-0,255,"May 17, 1983",Arizona,N/A
1974,N/A,1975,G,6-3,185,"December 25, 1949",BYU,N/A
1947,N/A,1947,F,6-2,175,"July 24, 1920",Long Island University,N/A
2024,N/A,2024,F,6-8,200,"May 6, 2003","LSU, Florida",N/A
1948,N/A,1948,G,6-0,170,"July 6, 1918",,N/A
1947,N/A,1954,F-C,6-5,190,"October 26, 1921","Millsaps College, Murray State",N/A
1971,N/A,1972,C,6-9,225,"January 10, 1946",Bethune-Cookman College,N/A
2004,N/A,2004,F,6-9,240,"May 15, 1981",Fresno State,N/A
1997,N/A,2001,C,6-11,255,"July 25, 1974",NC State,N/A
1981,N/A,1981,G,6-4,180,"September 4, 1958","Vincennes University, Pepperdine",N/A
2018,N/A,2024,G,6-4,209,"May 29, 1998",Washington,N/A
1998,N/A,2005,F,6-9,230,"December 15, 1970","Indiana, Ohio State",N/A
2024,N/A,2024,G,6-5,200,"September 21, 1999","Bucknell, Penn State",N/A
1977,N/A,1980,G-F,6-4,190,"October 18, 1954",Michigan State,N/A
2025,N/A,2025,G-F,6-8,200,"December 8, 2004",Kansas,N/A
1950,N/A,1955,G-F,5-11,170,"May 13, 1922",Syracuse,N/A
2020,N/A,2024,F,6-9,205,"March 26, 1997",Kentucky,N/A
2003,N/A,2012,C,6-11,240,"February 2, 1978",UCLA,N/A
2020,N/A,2025,C-F,6-10,234,"October 1, 1998",Arkansas,N/A
2006,N/A,2006,F,6-9,250,"March 22, 1982",Fairfield,N/A
1948,N/A,1950,F-C,6-6,195,"November 22, 1918",DePaul,N/A
1969,N/A,1969,G,6-4,185,"March 10, 1946",Texas A&M University-Commerce,N/A
1989,N/A,1995,G,6-3,195,"June 1, 1965","UCLA, Loyola Marymount",N/A
2004,N/A,2006,G,6-6,205,"January 7, 1981",Louisville,N/A
1968,N/A,1968,G,6-1,170,"February 27, 1940",LeMoyne-Owen College,N/A
2010,N/A,2012,G,6-1,185,"April 18, 1986",Georgia,N/A
1972,N/A,1982,G,6-4,185,"July 18, 1950",Elizabeth City State University,N/A
1994,N/A,1994,C,6-10,255,"May 30, 1969",Creighton,N/A
1949,N/A,1958,F-C,6-6,210,"April 26, 1927",Truman State University,N/A
1947,N/A,1947,F,6-2,205,"February 22, 1919",,N/A
2009,N/A,2024,F,6-10,233,"August 8, 1988",,N/A
2015,N/A,2022,G,6-1,200,"December 9, 1991",Saint Joseph's,N/A
1959,N/A,1970,F,6-6,215,"April 16, 1937",Oregon State,N/A
1988,N/A,1997,F-G,6-5,210,"November 13, 1965",Iowa,N/A
1947,N/A,1947,F-C,6-4,205,"June 22, 1922",Duke,N/A
2007,N/A,2008,F,6-9,245,"December 19, 1977",,N/A
2001,N/A,2001,F,6-9,245,"October 17, 1973",Providence,N/A
2004,N/A,2005,G,6-3,220,"March 4, 1980",,N/A
2006,N/A,2015,F-G,6-7,195,"December 31, 1981",Louisville,N/A
1968,N/A,1968,F,6-8,205,"September 30, 1944",Colorado,N/A
1949,N/A,1949,F,6-3,195,"September 18, 1923",DePauw University,N/A
1976,N/A,1976,F,6-5,205,"September 27, 1949",Utah,N/A
2008,N/A,2009,G,6-5,225,"February 8, 1985",Missouri,N/A
1950,N/A,1952,F-C,6-5,200,"May 14, 1925",Utah,N/A
1947,N/A,1949,G,6-0,190,"June 13, 1918",St. John's,N/A
2017,N/A,2017,G-F,6-6,210,"May 17, 1993",George Washington,N/A
2020,N/A,2025,G,6-1,192,"January 26, 2000",Vanderbilt,N/A
1980,N/A,1980,G,6-4,180,"October 12, 1957",DePaul,N/A
1988,N/A,1995,G,6-2,170,"December 19, 1964",Missouri State,N/A
1956,N/A,1961,G-F,6-3,200,"October 29, 1932","Hibbing Community College, Minnesota",N/A
1968,N/A,1968,C,6-10,220,"June 17, 1940",University of Portland,N/A
1998,N/A,2001,G,5-10,156,"February 2, 1975",Memphis,N/A
1983,N/A,1986,F,6-9,225,"April 22, 1960",Wyoming,N/A
1996,N/A,2016,F-C,6-11,240,"May 19, 1976",,N/A
1999,N/A,1999,G,6-2,186,"July 3, 1975",Santa Clara,N/A
2019,N/A,2019,G,6-6,213,"October 16, 1994",DePaul,N/A
1981,N/A,1984,F,6-7,190,"July 11, 1956","Austin Peay State University, Oral Roberts",N/A
1997,N/A,2002,C,6-10,225,"November 27, 1966",Indiana,N/A
2013,N/A,2014,G,6-4,190,"November 3, 1988",Iowa State,N/A
1970,N/A,1974,G,6-3,185,"January 31, 1947",Southern Illinois,N/A
2022,N/A,2022,G,6-5,205,"November 9, 1998",Kansas,N/A
1973,N/A,1977,F,6-6,210,"July 16, 1950",Florida State,N/A
1989,N/A,1992,G,6-2,185,"July 7, 1966",Rhode Island,N/A
1984,N/A,1984,F,6-8,205,"June 6, 1959","Michigan, Boston College",N/A
1998,N/A,2000,G,6-2,183,"September 24, 1974",Illinois,N/A
1999,N/A,2008,F,6-9,238,"August 23, 1976",Notre Dame,N/A
2022,N/A,2024,F,6-8,220,"March 9, 2002",,N/A
1974,N/A,1974,F,6-7,200,"February 5, 1950",Boston University,N/A
2022,N/A,2025,F-C,6-10,235,"December 27, 1998",Iowa,N/A
2009,N/A,2021,C,6-11,255,"January 29, 1985",,N/A
2002,N/A,2019,C-F,7-0,250,"July 6, 1980",,N/A
1950,N/A,1950,G,6-0,160,"April 12, 1920",Sam Houston State University,N/A
2024,N/A,2024,F,6-8,217,"November 8, 1996",Xavier,N/A
1992,N/A,2002,F-C,6-10,220,"September 3, 1967",Old Dominion,N/A
1987,N/A,1996,F-C,6-8,225,"May 23, 1964",Old Dominion,N/A
2007,N/A,2023,F,6-8,250,"August 17, 1986",UConn,N/A
1951,N/A,1951,G-F,6-4,210,"May 16, 1927",Washington State,N/A
1994,N/A,1999,G,6-7,205,"July 24, 1965",Seton Hall,N/A
2017,N/A,2017,G,6-7,200,"June 5, 1992","Duke, Syracuse",N/A
1997,N/A,1998,G,6-2,187,"August 31, 1973",Arizona,N/A
2010,N/A,2017,G,6-6,225,"May 29, 1987",Alabama,N/A
1993,N/A,2002,C,7-0,243,"September 10, 1969","Auburn, Georgia Tech",N/A
2007,N/A,2013,F,6-7,215,"May 22, 1983",,N/A
2000,N/A,2010,G-F,6-8,220,"August 29, 1977",Augsburg College,N/A
1954,N/A,1961,G,6-2,190,"November 13, 1928",La Salle,N/A
2024,N/A,2025,G,6-4,185,"November 8, 2003",Baylor,N/A
2025,N/A,2025,G,6-7,200,"December 12, 2003",Miami (FL),N/A
2011,N/A,2025,F-G,6-8,220,"May 2, 1990",Fresno State,N/A
1991,N/A,1995,G,6-5,190,"May 29, 1968",UConn,N/A
2017,N/A,2018,G,6-5,216,"March 28, 1994",Georgia Tech,N/A
1975,N/A,1981,F-G,6-8,200,"July 27, 1953",Virginia,N/A
1990,N/A,1991,F,6-8,200,"March 28, 1963",Texas-San Antonio,N/A
1973,N/A,1986,G-F,6-7,180,"April 27, 1952",Eastern Michigan,N/A
1947,N/A,1947,C,6-4,205,"August 14, 1920",Temple,N/A
1973,N/A,1980,C-F,6-10,220,"June 10, 1950",University of the Pacific,N/A
1972,N/A,1976,F-G,6-5,210,"December 20, 1948",Texas-El Paso,N/A
2007,N/A,2013,G,6-2,190,"February 27, 1986",Texas,N/A
1950,N/A,1950,F-G,5-11,175,"August 25, 1923",Western Kentucky,N/A
1950,N/A,1950,F-C,6-5,198,"December 5, 1921",Creighton,N/A
2017,N/A,2018,G,6-2,185,"November 8, 1987",New Mexico State,N/A
1964,N/A,1964,G,6-3,180,"December 30, 1940",Western Carolina University,N/A
1984,N/A,1986,F,6-10,205,"October 27, 1960",USC Upstate,N/A
2010,N/A,2025,F-C,6-9,232,"June 24, 1985",USC,N/A
2009,N/A,2010,G,6-5,215,"February 13, 1985","Kansas, New Mexico",N/A
2022,N/A,2025,G,6-8,210,"October 10, 2002",,N/A
2010,N/A,2010,F,6-9,185,"January 24, 1985","McNeese State University, Northwestern State University",N/A
2019,N/A,2024,F-C,6-11,240,"April 22, 1998",Duke,N/A
2019,N/A,2025,G,6-6,200,"July 12, 1998",Kentucky,N/A
2021,N/A,2025,F,6-7,230,"October 17, 1992","South Carolina, Virginia",N/A
2001,N/A,2009,G,6-0,190,"August 16, 1978",Weber State,N/A
1991,N/A,2005,G,6-5,195,"May 25, 1968",Illinois,N/A
1989,N/A,1989,C,7-0,235,"September 19, 1965",Georgetown,N/A
2024,N/A,2025,G,6-1,195,"June 25, 1999",Villanova,N/A
2021,N/A,2022,F,6-9,245,"June 14, 1997","Carleton College, Baylor",N/A
1970,N/A,1970,F,6-6,215,"October 1, 1947",Montana State,N/A
1988,N/A,2000,F-C,6-9,230,"May 28, 1964",UNLV,N/A
1970,N/A,1977,G-F,6-3,190,"May 5, 1946",Purdue,N/A
1972,N/A,1988,C,7-2,240,"September 21, 1949","Gardner-Webb University, Jacksonville University",N/A
1971,N/A,1971,F,6-6,225,"February 27, 1947",Fort Valley State University,N/A
1947,N/A,1951,F-C,6-4,225,"August 13, 1922",Washington,N/A
2023,N/A,2024,G,5-9,160,"July 14, 1998",Richmond,N/A
2003,N/A,2018,G,6-6,205,"July 28, 1977",,N/A
2003,N/A,2008,G-F,6-6,210,"June 20, 1977",,N/A
1979,N/A,1980,F-G,6-5,205,"September 21, 1956",Kentucky,N/A
2012,N/A,2012,C,6-11,220,"July 26, 1986",Alabama A&M University,N/A
1949,N/A,1949,C-F,6-6,225,"June 7, 1918",UNC,N/A
1991,N/A,1996,G-F,6-5,221,"November 12, 1967","Delta State University, Ole Miss",N/A
1978,N/A,1987,G,6-2,175,"September 10, 1955",Southern Illinois,N/A
1950,N/A,1950,F,6-7,190,"November 10, 1927",Loyola Marymount,N/A
1986,N/A,1986,F,6-8,235,"January 10, 1960",,N/A
1972,N/A,1972,F,6-8,210,"November 1, 1947",Western Kentucky,N/A
2000,N/A,2005,G,6-5,228,"October 22, 1978",Georgia Tech,N/A
2007,N/A,2007,C,7-1,280,"August 21, 1981",,N/A
1981,N/A,1994,C,6-11,250,"August 3, 1959",Duke,N/A
2014,N/A,2025,C,7-1,258,"June 26, 1992",,N/A
1991,N/A,1992,C,6-10,250,"June 14, 1967",University of Evansville,N/A
1956,N/A,1966,G-F,6-6,205,"January 13, 1933",La Salle,N/A
1947,N/A,1947,F,6-1,185,"September 6, 1913",George Washington,N/A
1996,N/A,2006,G,6-1,182,"September 6, 1971",Houston,N/A
2006,N/A,2014,F,6-7,250,"September 1, 1982",Providence,N/A
1978,N/A,1983,F-G,6-6,218,"August 30, 1955",UNLV,N/A
1987,N/A,1989,G,6-5,205,"January 19, 1963",Pepperdine,N/A
2003,N/A,2016,F,6-10,250,"September 24, 1981",Kansas,N/A
1966,N/A,1979,G,6-1,170,"April 23, 1943",UCLA,N/A
2001,N/A,2002,F,6-10,220,"March 18, 1976",Princeton,N/A
2014,N/A,2017,G,6-5,200,"August 17, 1994",Kentucky,N/A
2019,N/A,2022,G,6-0,180,"October 2, 1995","Central Florida, Florida Gulf Coast",N/A
2022,N/A,2024,G,6-3,200,"October 23, 1998",Saint Louis,N/A
1947,N/A,1948,F-C,6-2,203,"December 22, 1920",,N/A
2015,N/A,2025,F,6-8,235,"September 16, 1995",Arizona,N/A
2005,N/A,2015,G,6-3,200,"April 4, 1983",UConn,N/A
2015,N/A,2015,F,6-9,245,"July 12, 1990","UCLA, New Mexico",N/A
2009,N/A,2025,G-F,6-3,215,"December 25, 1988",Indiana,N/A
1985,N/A,1988,G,6-3,185,"June 24, 1962",Louisville,N/A
1950,N/A,1950,F,6-3,185,"April 8, 1927",Notre Dame,N/A
2008,N/A,2019,C-F,6-11,240,"February 17, 1984",,N/A
2025,N/A,2025,G,6-2,184,"April 14, 2003",,N/A
1947,N/A,1948,G,5-11,180,"November 28, 1920",,N/A
2012,N/A,2016,G,6-3,200,"December 7, 1988",College of Charleston,N/A
1968,N/A,1976,F-C,6-10,220,"January 2, 1942",Saint Mary of the Plains College,N/A
1954,N/A,1954,G,5-11,185,"April 17, 1928",DePaul,N/A
1949,N/A,1962,F-C,6-7,195,"January 15, 1930",,N/A
1994,N/A,1994,G,6-1,180,"August 20, 1967","Midland College, Oklahoma",N/A
1968,N/A,1968,G,6-2,195,"June 7, 1944",Gannon University,N/A
2019,N/A,2024,G,6-1,195,"February 22, 1995",Kansas,N/A
1994,N/A,1998,G,6-4,174,"November 26, 1970",Indiana,N/A
2006,N/A,2011,F,6-7,225,"June 11, 1982","Central Florida, Oklahoma State",N/A
1968,N/A,1969,G,6-1,185,"February 23, 1945",NYU,N/A
1989,N/A,1989,F,6-8,220,"May 5, 1965","West Texas A&M University, Auburn University at Montgomery",N/A
1992,N/A,1994,F-G,6-6,200,"November 28, 1967",Ohio University,N/A
2006,N/A,2011,G,6-6,215,"June 11, 1982","Central Florida, Oklahoma State",N/A
2017,N/A,2020,G,6-5,219,"October 28, 1993",VCU,N/A
1991,N/A,1991,F-C,7-0,235,"October 4, 1960","Florida, South Florida",N/A
1989,N/A,1996,F,6-6,215,"July 9, 1964","University of California, Irvine, New Orleans",N/A
2006,N/A,2015,F,6-9,222,"April 20, 1983","Bradley, New Mexico",N/A
1984,N/A,1987,G,6-3,190,"October 27, 1961",Villanova,N/A
1995,N/A,2006,F,6-9,254,"March 5, 1972",Xavier,N/A
1950,N/A,1951,F,6-3,195,"May 20, 1927",Minnesota,N/A
1989,N/A,2001,G,6-3,185,"April 21, 1965",Michigan,N/A
1990,N/A,1996,G,5-7,140,"August 29, 1966",Trenton State University,N/A
1989,N/A,1999,F,6-8,195,"July 4, 1965","Clemson, Oklahoma",N/A
1988,N/A,2004,F-C,6-10,215,"July 4, 1965",Clemson,N/A
2015,N/A,2025,F,6-7,210,"March 12, 1994",Syracuse,N/A
2016,N/A,2020,G,6-4,205,"October 9, 1992",Notre Dame,N/A
1994,N/A,1994,F,6-9,223,"August 7, 1967",Utah,N/A
1999,N/A,2004,C,7-0,245,"January 6, 1974","Boston College, Wisconsin",N/A
1973,N/A,1976,F,6-7,215,"January 1, 1950",Kentucky State University,N/A
2019,N/A,2019,F,6-8,215,"March 19, 1995",Clemson,N/A
1950,N/A,1950,F-G,6-2,185,"August 27, 1923",Ohio State,N/A
1985,N/A,1985,G,6-3,200,"January 5, 1962",Yale,N/A
2022,N/A,2022,G,6-2,188,"July 16, 1996","Pensacola State, South Carolina",N/A
2008,N/A,2014,C,7-0,270,"December 7, 1984",Pitt,N/A
1997,N/A,2000,F,6-7,240,"May 31, 1972",Clemson,N/A
1998,N/A,1999,G,6-3,210,"September 27, 1975","Tennessee, California",N/A
1997,N/A,1997,F,6-7,235,"December 13, 1969",UNLV,N/A
1968,N/A,1968,G,6-1,185,"February 23, 1945",Oklahoma City University,N/A
2018,N/A,2020,G,6-0,180,"September 9, 1993",LSU,N/A
1975,N/A,1977,F,6-8,240,"December 19, 1951",Cal State Long Beach,N/A
2023,N/A,2024,F,6-8,260,"July 7, 1999",Florida State,N/A
1985,N/A,1991,C-F,7-0,235,"May 27, 1963",UCLA,N/A
1989,N/A,1989,F,6-6,230,"July 8, 1967",Memphis,N/A
1947,N/A,1948,G-F,6-1,175,"March 20, 1922",Harvard University,N/A
1989,N/A,1998,F-G,6-5,200,"December 17, 1965",Iowa State,N/A
1970,N/A,1972,F,6-7,206,"September 15, 1947",Rutgers University,N/A
1986,N/A,2001,F-C,6-9,220,"October 4, 1963",Oregon State,N/A
2023,N/A,2025,G,6-4,200,"September 27, 1999",University of Northern Iowa,N/A
2010,N/A,2024,G-F,6-6,215,"June 22, 1987",UNC,N/A
2006,N/A,2006,G,6-7,210,"October 25, 1982",Hampton,N/A
2013,N/A,2025,F,6-6,230,"March 4, 1990",Michigan State,N/A
2015,N/A,2016,G,6-4,185,"May 9, 1991",Virginia Tech,N/A
2006,N/A,2019,G-F,6-6,205,"January 26, 1986",,N/A
2022,N/A,2025,G,6-4,178,"February 9, 2002",,N/A
2015,N/A,2023,F,6-8,227,"June 21, 1990",Alabama,N/A
2020,N/A,2025,F,6-4,205,"July 23, 1993",Radford,N/A
2008,N/A,2025,F,6-8,235,"August 28, 1986",Georgetown,N/A
1960,N/A,1973,F-C,6-5,200,"December 8, 1933",Michigan State,N/A
2021,N/A,2025,G-F,6-5,200,"November 16, 2000",Arizona,N/A
1986,N/A,1986,F,6-8,215,"September 19, 1959",University of Texas Rio Grande Valley,N/A
1986,N/A,1987,F,6-6,210,"October 11, 1964",Wake Forest,N/A
1970,N/A,1975,F-C,6-7,210,"March 22, 1947",Morehead State University,N/A
1993,N/A,1999,G,6-1,185,"March 7, 1970",Georgia,N/A
1970,N/A,1973,F,6-7,190,"November 13, 1946",Long Island University,N/A
1974,N/A,1980,C-F,6-10,200,"August 6, 1951",Louisiana Tech,N/A
1978,N/A,1992,G,6-0,170,"August 18, 1954","Vincennes University, Michigan",N/A
1992,N/A,1994,G-F,6-5,210,"February 2, 1970","NC State, Iona College",N/A
1957,N/A,1966,G-F,6-2,185,"August 20, 1933",Duquesne,N/A
1984,N/A,1993,F-C,6-9,220,"January 4, 1961",UNLV,N/A
1976,N/A,1979,F,6-7,220,"October 4, 1953",Indiana,N/A
2008,N/A,2008,G,6-0,177,"November 28, 1986",Florida,N/A
1979,N/A,1979,G,6-2,185,"April 8, 1956",Southern University and A&M College,N/A
2004,N/A,2015,G,6-4,200,"July 28, 1981",Detroit Mercy,N/A
2009,N/A,2012,F,6-11,226,"February 21, 1988",Syracuse,N/A
2006,N/A,2011,G,6-4,208,"February 4, 1982","Florida, Louisiana",N/A
1964,N/A,1965,F,6-5,195,"November 22, 1941",Maryland,N/A
1980,N/A,1991,F-C,6-9,222,"May 27, 1957",UCLA,N/A
1959,N/A,1973,G-F,6-2,175,"June 26, 1936",Marshall,N/A
2007,N/A,2007,G,6-2,175,"October 23, 1979",Temple,N/A
1969,N/A,1974,F-C,6-7,225,"August 13, 1945",South Carolina,N/A
1986,N/A,1988,F,6-8,205,"December 26, 1958",Wisconsin,N/A
1983,N/A,1983,F,6-7,215,"April 28, 1961",Oregon,N/A
1954,N/A,1954,F,6-5,180,"June 22, 1930",La Salle,N/A
1976,N/A,1985,G-F,6-5,210,"May 12, 1953",Kentucky,N/A
1969,N/A,1970,C-F,6-8,215,"August 26, 1947",California Western Uiversity,N/A
2000,N/A,2008,G-F,6-5,217,"July 4, 1974",Seton Hall,N/A
2023,N/A,2024,F,6-6,222,"August 25, 2003",Duke,N/A
2011,N/A,2023,F-C,6-9,250,"March 16, 1989",Oklahoma,N/A
2002,N/A,2007,F-C,6-10,220,"May 30, 1982",Seton Hall,N/A
1978,N/A,1978,F,6-7,190,"September 6, 1952",Idaho State University,N/A
1977,N/A,1983,F-C,6-9,205,"January 20, 1954",Western Michigan,N/A
2010,N/A,2010,F,6-7,238,"April 18, 1986",Oklahoma,N/A
1981,N/A,1991,G,6-4,190,"June 16, 1958",Louisville,N/A
1955,N/A,1955,G,6-5,190,"August 15, 1928",Dayton,N/A
2022,N/A,2025,G,6-5,205,"May 8, 2000","Kansas, Houston",N/A
1998,N/A,1998,F,6-9,230,"August 3, 1974",Missouri,N/A
1947,N/A,1947,G,6-1,185,"September 24, 1919",Brown University,N/A
1953,N/A,1953,G,5-11,180,"November 4, 1930",Duke,N/A
1976,N/A,1983,F-G,6-6,200,"August 3, 1953","Seattle University, Cal State Long Beach",N/A
1972,N/A,1972,C,6-9,230,"September 7, 1947",Louisville,N/A
1965,N/A,1965,G,6-4,215,"December 28, 1940",Loyola Marymount,N/A
1950,N/A,1951,C,6-7,218,"October 7, 1926",Kentucky,N/A
1970,N/A,1970,G,6-4,184,"July 26, 1947",UNC,N/A
2006,N/A,2006,G,6-3,180,"April 15, 1979",NC State,N/A
1978,N/A,1986,G-F,6-6,210,"April 24, 1955",Tennessee,N/A
1960,N/A,1963,F,6-5,220,"September 13, 1937",George Washington,N/A
1982,N/A,1989,C,7-2,260,"October 30, 1958",Washington,N/A
2020,N/A,2020,G,6-6,201,"March 8, 1995",,N/A
1957,N/A,1970,G,6-4,195,"May 29, 1932",Iona College,N/A
2024,N/A,2024,F,6-9,210,"July 6, 1998","Monroe Community College, Stony Brook University, Pitt",N/A
2024,N/A,2025,F,6-11,210,"November 9, 2002",Washington State,N/A
1993,N/A,2005,F,6-10,240,"December 19, 1969",NC State,N/A
1994,N/A,1995,F-C,6-10,225,"October 28, 1968",,N/A
1993,N/A,1994,C,6-10,255,"August 18, 1969",University of Minnesota Duluth,N/A
1947,N/A,1949,F,6-4,190,"February 5, 1923","St. John's, Boston College",N/A
1963,N/A,1963,F,6-7,190,"July 22, 1937",Iowa,N/A
1950,N/A,1950,F-G,6-5,200,"August 7, 1925",Saint Joseph's,N/A
1947,N/A,1947,F,6-3,195,"November 11, 1915",Saint Joseph's,N/A
1967,N/A,1976,G-F,6-5,175,"February 25, 1944",Saint Joseph's,N/A
2014,N/A,2016,G,6-3,191,"December 27, 1988",California,N/A
2020,N/A,2022,G,6-1,167,"August 11, 1997",Virginia,N/A
2001,N/A,2003,G,6-1,180,"February 12, 1978",Indiana,N/A
2020,N/A,2025,F,6-8,230,"February 8, 1998",Gonzaga,N/A
1976,N/A,1977,F,6-9,210,"May 10, 1953",Syracuse,N/A
2009,N/A,2013,C,7-2,254,"May 19, 1985",,N/A
1968,N/A,1968,C-F,6-10,235,"January 15, 1940",Providence,N/A
1990,N/A,1991,G,6-3,180,"February 2, 1966","Illinois, University of Evansville",N/A
1957,N/A,1970,F-G,6-4,210,"December 9, 1931",Kentucky,N/A
1982,N/A,1982,G,6-0,170,"June 25, 1955",St. Bonaventure,N/A
1970,N/A,1971,G,6-3,185,"January 29, 1947",Vanderbilt,N/A
2021,N/A,2024,G,6-3,190,"July 8, 1999",Kentucky,N/A
1950,N/A,1950,C,6-10,240,"August 25, 1925",NC State,N/A
1969,N/A,1970,G,6-1,170,"December 11, 1945",Bowling Green,N/A
1965,N/A,1975,F,6-7,225,"May 31, 1942",NYU,N/A
1976,N/A,1976,F-C,6-7,180,"December 8, 1951",Michigan State,N/A
2009,N/A,2010,G,6-6,220,"February 23, 1987",Oregon,N/A
2015,N/A,2016,G-F,6-6,230,"December 24, 1992",UNC,N/A
2003,N/A,2010,F,6-10,230,"December 22, 1980",Tennessee,N/A
1947,N/A,1951,C,6-9,225,"February 27, 1919",West Texas A&M University,N/A
1961,N/A,1962,C,7-3,235,"January 30, 1933",Oregon State,N/A
1949,N/A,1951,G-F,6-1,170,"August 30, 1918",Santa Clara,N/A
1968,N/A,1968,G,6-1,180,"September 21, 1945",Utah State University,N/A
1989,N/A,1998,C-F,6-10,240,"January 27, 1964",UCLA,N/A
2021,N/A,2025,G,6-5,185,"February 29, 2000",Iowa State,N/A
1969,N/A,1973,G-F,6-5,199,"March 30, 1945","Imperial Valley College, Utah State University",N/A
2020,N/A,2020,G,6-2,215,"July 7, 1995",Virginia,N/A
2020,N/A,2021,F,6-9,232,"August 7, 1997",Alabama,N/A
2023,N/A,2023,G-F,6-7,215,"January 14, 2002",Saint Joseph's,N/A
2021,N/A,2021,F,6-9,190,"October 8, 2000",,N/A
2007,N/A,2007,F,6-8,230,"June 5, 1984",George Washington,N/A
2025,N/A,2025,F,6-8,245,"February 21, 2002",Clemson,N/A
2022,N/A,2022,G,6-5,209,"March 25, 1997",Montana State,N/A
1972,N/A,1973,G,6-5,193,"July 3, 1949",Drake University,N/A
1997,N/A,2005,F,6-7,220,"July 23, 1973",Texas Tech,N/A
1997,N/A,1997,C,7-0,245,"November 13, 1973",Tennessee,N/A
1950,N/A,1950,G-F,6-0,180,"August 16, 1919",Franklin College,N/A
2018,N/A,2019,G-F,6-7,195,"August 8, 1995",UConn,N/A
1968,N/A,1971,F,6-8,210,"May 8, 1944",Arizona State,N/A
1971,N/A,1976,G,5-10,160,"July 5, 1948","Southwestern Christian College, University of North Texas",N/A
2012,N/A,2016,G-F,6-7,220,"October 6, 1990",Texas,N/A
2014,N/A,2017,C,7-0,260,"April 1, 1990","Iowa State, LSU",N/A
1949,N/A,1949,G-F,6-1,188,"June 10, 1921",Indiana,N/A
2000,N/A,2013,G-F,6-6,185,"February 14, 1978",UConn,N/A
1980,N/A,1981,G,6-2,180,"July 20, 1957",UCLA,N/A
1959,N/A,1960,F-C,6-6,190,"November 30, 1934","Purdue, Morehead State University",N/A
2002,N/A,2002,F,6-8,220,"May 26, 1978",Mississippi State,N/A
1996,N/A,2000,C,7-2,330,"April 3, 1975",Pitt,N/A
2001,N/A,2006,C-F,6-11,250,"April 27, 1975",St. John's,N/A
1994,N/A,1996,C,7-0,262,"July 12, 1969",LSU,N/A
1968,N/A,1972,F,6-5,205,"May 27, 1943",Tulsa,N/A
1990,N/A,2001,F,6-9,215,"March 27, 1967",Georgia Tech,N/A
2017,N/A,2017,C,7-0,260,"August 27, 1992",Purdue,N/A
